text,label
"Pay ₹499 registration fee and get job",1
"Work from home data entry urgent",1
"WhatsApp HR offering 20k salary",1
"Apply via official company website",0
"Software Engineer role at Infosys",0
"Internship with no fees official email",0
"SHOCKING! Aliens found in Area 51, click here to see the video!",1
"You have won a $1000 Walmart gift card! Click here to claim your prize now!",1
"Government announces new tax loop hole to get rich quick, 100% legal!",1
"Apple releases new iPhone 15 with titanium body and USB-C port.",0
"Federal Reserve keeps interest rates steady for the third consecutive meeting.",0
"URGENT: Your bank account has been compromised. Please verify your details at this link.",1
"Exclusive: The secret cure for cancer that doctors don't want you to know about!",1
"Local community garden opens this Saturday with free vegetable seeds for residents.",0
"NASA launched a new rover to explore the surface of Mars.",0
"Earn $500 a day from home using this one simple trick! No experience needed.",1
"Warning: Your computer is infected with a virus. Call this number immediately to fix it.",1
"The president's speech addressed the upcoming infrastructure bill and education reforms.",0
"Scientists have discovered a new species of deep-sea jellyfish in the Pacific Ocean.",0
"Congratulations! You are the 1,000,000th visitor. Claim your free iPhone now!",1